	Total	Mexican Restaurant	Coffee Shop	Pizza Place	Food Truck	Sandwich Place	Taco Place	Fast Food Restaurant	Burger Joint	American Restaurant	Bakery	Ice Cream Shop	Italian Restaurant	BBQ Joint	Cocktail Bar	Brewery	Chinese Restaurant	Café	Mediterranean Restaurant	Vietnamese Restaurant	Juice Bar	Restaurant	Breakfast Spot	Dive Bar	Asian Restaurant	Fried Chicken Joint	Sushi Restaurant	Seafood Restaurant	Donut Shop	Deli / Bodega	Vegetarian / Vegan Restaurant	Thai Restaurant	Japanese Restaurant	Pub	New American Restaurant	Bagel Shop	Dessert Shop	Steakhouse	Wings Joint	Indian Restaurant	Beer Garden	Salad Place	Sports Bar	Korean Restaurant	Frozen Yogurt Shop	French Restaurant	Cupcake Shop	Food	Bubble Tea Shop	Cajun / Creole Restaurant	Tex-Mex Restaurant	Smoothie Shop	Beer Bar	Southern / Soul Food Restaurant	South American Restaurant	Diner	Snack Place	Middle Eastern Restaurant	Gastropub	Greek Restaurant	Beach Bar	Ramen Restaurant	Bed & Breakfast	Latin American Restaurant	Gluten-free Restaurant	Hotel Bar	Cuban Restaurant	Comfort Food Restaurant	Burrito Place	Wine Bar	Tea Room	Tapas Restaurant	Irish Pub	Soup Place	Ethiopian Restaurant	Peruvian Restaurant	Noodle House	Szechuan Restaurant	Churrascaria	Taiwanese Restaurant	South Indian Restaurant	Argentinian Restaurant	Cantonese Restaurant	Turkish Restaurant	Whisky Bar	Pastry Shop	Brazilian Restaurant
Ed Bluestein, Johnston Terrace, Oak Springs	8	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Franklin Park, Mckinney, Southeast	7	1	0	1	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Georgian Acres, Heritage Hills, North Lamar, Windsor Hills	26	4	0	1	3	2	0	0	2	0	1	0	0	0	0	0	2	0	1	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Gracy Woods, North Austin	45	3	0	2	0	4	3	3	1	0	0	1	2	1	0	6	0	0	1	3	0	0	0	0	0	0	2	0	1	2	0	0	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Great Hills	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hancock	11	2	1	0	1	0	0	0	0	1	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Heritage, North University, Shoal Crest, The Drag, West University	59	4	4	2	5	8	3	2	4	0	0	1	0	1	0	0	0	2	2	0	2	0	0	0	0	0	0	0	0	0	0	2	1	2	0	1	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	1	1	0	0	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Hyde Park, North Loop, Triangle State	50	3	4	4	1	2	1	0	2	2	1	1	3	1	2	0	0	1	2	2	1	1	2	0	1	0	0	0	1	2	3	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Lamplight Village	8	0	1	2	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milwood	10	1	0	0	0	0	0	0	1	1	0	0	1	2	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
